Lat,Lon
53.546993301,2.081327955
53.545632771,2.081376003
53.542385159,2.081424093
53.539390167,2.081468434
53.537837685,2.081463717
53.535221967,2.081459435
53.534594684,2.081474219
53.533745433,2.081693349
53.533631165,2.083201846
53.533646475,2.084587391
53.533697454,2.087285259
53.533714258,2.08862581
53.533674479,2.091362944
53.533685439,2.092707311
53.533677515,2.094106174
53.533662648,2.097073097
53.533689517,2.099456273
53.533685639,2.101264095
53.53372599,2.103760314
53.533659933,2.106244419
53.533702191,2.107693897
53.533744151,2.109444264
53.533740409,2.110940623
53.533702297,2.114554395
53.533733671,2.115666886
53.533766799,2.117140407
53.533713077,2.120236595
53.533711256,2.121183404
53.533713359,2.124092663
53.533743456,2.125458246
53.533746138,2.12858967
53.533754229,2.131224425
53.533730272,2.132735583
53.533777219,2.135471671
53.533790967,2.136710808
53.533751564,2.139394839
53.533798314,2.14266376
53.533747142,2.145291681
53.533786056,2.14624354
53.533826074,2.15070493
53.533799691,2.153220228
53.533774023,2.155951206
53.533811025,2.158541724
53.533828495,2.159886635
53.533834231,2.161856849
53.533822405,2.163855084
53.533811652,2.165342025
53.533781916,2.167027009
53.533855701,2.169492373
53.533820843,2.172264583
53.533790071,2.173603246
53.533846516,2.176257015
53.533836876,2.179026428
53.533819909,2.180261514
53.533854467,2.18163546
53.533836813,2.186036293
53.533854014,2.187223569
53.533823528,2.190105532
53.533835464,2.191433921
53.533840572,2.194544232
53.533823096,2.19714317
53.53385834,2.199768471
53.533861153,2.201120424
53.533847759,2.203844642
53.533835771,2.20523499
53.533868179,2.206386044
53.53380514,2.212019626
53.53385856,2.213756209
53.533879424,2.215186066
53.533880416,2.216250962
53.533869513,2.217560641
53.533862295,2.219099139
53.53391022,2.221728615
53.533841428,2.224446724
53.533851384,2.226737672
53.533918055,2.230953406
53.533869395,2.233978075
53.533920266,2.236946254
53.533935961,2.238371996
53.533911602,2.241142862
53.533919191,2.244113974
53.533939308,2.246844605
53.534003293,2.24822703
53.5401759,2.2782971
53.5400671,2.2809908
53.5400261,2.2835021
53.5399816,2.2847429
53.5399123,2.29007
53.5394732,2.2993244
53.5392883,2.3039673
53.5392965,2.3076601
53.5390236,2.3132581
53.5388745,2.3159166
53.538705,2.3249097
53.5384651,2.327502
53.5383325,2.3290603
53.537966,2.3391524
53.5379732,2.3417317
53.5378908,2.3456591
53.5378786,2.3467912
53.5376357,2.3515527
53.5376881,2.3543994
53.5376647,2.3570107
53.5369889,2.3649852
53.5368044,2.3742952
53.5366517,2.3780483
53.5365641,2.3808941
53.5365509,2.3830795
53.5364277,2.3859774
53.5362495,2.3908219
53.5362098,2.3932682
53.5360357,2.3986342
53.5357899,2.4015008
53.535563,2.4042325
53.5355277,2.4078457
53.5353623,2.41308
53.5352074,2.4169234
53.5349695,2.4222274
53.5349025,2.4236628
53.5348416,2.4286572
53.5345094,2.4366384
53.534152,2.4429674
53.5341305,2.4468192
53.5337526,2.4547124
53.5336776,2.4573226
53.5334912,2.4625337
53.533245,2.470354
53.5330332,2.4729081
53.5330988,2.480449
53.5329157,2.4828499
53.5327425,2.4856031
53.5324434,2.4886163
53.5322774,2.4961428
53.5318562,2.5040586
53.5317572,2.506534
53.5316682,2.5118714
53.5315328,2.5168688
53.5314681,2.5193851
53.5310995,2.5244944
53.5309555,2.5287096
53.5309064,2.5350291
53.5307294,2.5426097
53.5337895,2.5432853
53.541985,2.5439165
53.5450708,2.5443965
53.5546762,2.5457838
53.5629806,2.5464381
53.5662044,2.5466768
53.5695042,2.5469021
53.5726334,2.5472919
53.5760091,2.5478462
53.5840976,2.5486642
53.5906715,2.5491632
53.5957543,2.5495785
53.6019069,2.550347
53.6052795,2.5506168
53.6070161,2.5508302
53.611613,2.5515249
53.6134178,2.5516537
53.6175234,2.5520205
53.6208347,2.5523317
53.6279993,2.5532529
53.6313562,2.5533873
53.6380431,2.5539708
53.6426469,2.5547259
53.647587,2.5552576
53.6525402,2.5554403
53.6578493,2.5556984
53.6706278,2.5571098
53.6720537,2.557091
53.6752189,2.556779
53.6757136,2.5557677
53.6774869,2.5524991
53.6780149,2.5514495
53.678651,2.5502128
53.679179,2.5491631
53.6796632,2.5479384
53.6840832,2.5365807
53.68803,2.5258821
53.6885418,2.5248277
53.69339,2.5095946
53.6955387,2.5053062
53.6972682,2.5018394
53.6983525,2.4986032
53.7015311,2.4893982
53.704419,2.4827863
53.7064191,2.4776316
53.7083471,2.4720821
53.7105422,2.4666508
53.7120374,2.4627331
53.7147311,2.4559015
53.7165681,2.450908
53.7181685,2.4461141
53.7217497,2.4363772
53.7237197,2.4308822
53.726577,2.4245918
53.7284073,2.4199561
53.7323053,2.4094706
53.7343076,2.4039649
53.738066,2.3937067
53.7398905,2.3885967
53.7423753,2.3825007
53.7439731,2.3780604
53.7463702,2.3719376
53.7493436,2.3629846
53.7520108,2.3568763
53.7544808,2.350569
53.7566213,2.3453126
53.7582503,2.3402422
53.7618328,2.3305883
53.7643853,2.3243703
53.7664804,2.3188718
53.7682173,2.3139733
53.7700063,2.3090579
53.7712288,2.3055677
53.7721346,2.3033288
53.7740239,2.2981329
53.7761375,2.2930457
53.7783461,2.2870974
53.7822783,2.2769516
53.7860296,2.2664141
53.7903518,2.2552908
53.7928452,2.2467011
53.7911438,2.2465833
53.7898441,2.246479
53.784573,2.2464127
53.7809228,2.2463427
53.725342716,2.188451964
53.725344792,2.186930231
53.725336506,2.185701571
53.725283756,2.184463032
53.725250681,2.183322615
53.725216351,2.179156719
53.725277572,2.177653455
53.736466,2.1440503
53.8322979,2.1416164
53.8327804,2.1423196
53.8344992,2.1413048
53.8355997,2.1399345
53.8409689,2.1273407
53.8438115,2.1153572
53.8452171,2.1112553
53.8473802,2.1061579
53.8491002,2.1019065
53.850768,2.0971074
53.8530153,2.0907639
53.8539205,2.0884634
53.8575555,2.0804146
53.8606927,2.0704916
53.8646276,2.0608169
53.8681267,2.0525498
53.8717745,2.0422768
53.8758155,2.0323544
53.8792354,2.0227295
53.8808771,2.0164492
53.8843211,2.0074451
53.8894312,1.9962314
53.8901018,1.9859438
53.8912926,1.9795966
53.8919461,1.9764993
53.8947905,1.9608718
53.8978981,1.9474485
53.8989431,1.9316247
53.8997436,1.925972
53.9021435,1.9145027
53.9025048,1.9132574
53.9068254,1.8960614
53.9080003,1.8788796
53.909275,1.8727396
